iter	Accuracy	MultiClass
0	0.5868893012	1.088659869
1	0.5914656772	1.080250346
2	0.595423624	1.072121362
3	0.6013605442	1.064467987
4	0.6030921459	1.057622161
5	0.6008658009	1.049837942
6	0.6043290043	1.042515965
7	0.6048237477	1.036330765
8	0.6059369202	1.030157573
9	0.6074211503	1.023952868
10	0.6064316636	1.018464658
11	0.6095238095	1.013329911
12	0.6086580087	1.007432932
13	0.6095238095	1.002863896
14	0.6089053803	0.99755928
15	0.6087816945	0.9923365502
16	0.6095238095	0.9878187747
17	0.6096474954	0.9834682383
18	0.6106369821	0.9795734738
19	0.6111317254	0.9753082462
20	0.6103896104	0.9712484473
21	0.6110080396	0.9674283581
22	0.6123685838	0.9641615901
23	0.609894867	0.960225612
24	0.6123685838	0.9567903079
25	0.6136054422	0.9534602321
26	0.6128633271	0.9502284736
27	0.612987013	0.9470780107
28	0.6139764997	0.9440627906
29	0.614471243	0.9411959417
30	0.6150896722	0.9385298185
31	0.6157081014	0.935855113
32	0.6143475572	0.9334190604
33	0.6145949289	0.9308815837
34	0.6141001855	0.9282891416
35	0.6142238714	0.9258920244
36	0.6148423006	0.9236352067
37	0.6148423006	0.9212989362
38	0.614471243	0.9189185239
39	0.6143475572	0.9166316078
40	0.6147186147	0.9143930174
41	0.6153370439	0.91239824
42	0.6157081014	0.9104649346
43	0.6154607297	0.9085791995
44	0.6169449598	0.9068004824
45	0.617563389	0.905073145
46	0.6174397032	0.9031947289
47	0.6180581323	0.9015541004
48	0.6178107607	0.8997303314
49	0.6178107607	0.8981286935
50	0.6176870748	0.8965498536
51	0.6179344465	0.8949650808
52	0.618305504	0.8936547958
53	0.6184291899	0.8921139765
54	0.6189239332	0.8907251114
55	0.6196660482	0.8892415523
56	0.6200371058	0.8877158177
57	0.6194186766	0.886375582
58	0.6204081633	0.8851004876
59	0.6194186766	0.8839203403
60	0.6192949907	0.8825932924
61	0.6209029066	0.8812654154
62	0.6212739641	0.8799114964
63	0.6220160792	0.8786096845
64	0.6207792208	0.8774209799
65	0.6225108225	0.8761407961
66	0.6230055659	0.8750618586
67	0.6230055659	0.8740669969
68	0.6239950526	0.8727094742
69	0.6241187384	0.8716096597
70	0.6237476809	0.8706423307
71	0.6254792826	0.8694014149
72	0.6246134818	0.8683908738
73	0.6253555968	0.8673028868
74	0.6256029685	0.8662901165
75	0.6258503401	0.8651846683
76	0.6258503401	0.8643145169
77	0.6264687693	0.8631499454
78	0.6270871985	0.8620996196
79	0.6273345702	0.8610234615
80	0.6273345702	0.8599457071
81	0.6285714286	0.8589885982
82	0.6279529994	0.858029562
83	0.6280766852	0.8571714035
84	0.6288188002	0.8561838247
85	0.6291898578	0.8553814094
86	0.6289424861	0.8544720244
87	0.6291898578	0.8535287235
88	0.6304267161	0.8525522472
89	0.6310451453	0.8516694673
90	0.631292517	0.8506712585
91	0.6315398887	0.8497928191
92	0.6316635745	0.8491144432
93	0.6314162028	0.8485136446
94	0.6319109462	0.8477465976
95	0.6317872604	0.8470691201
96	0.6325293754	0.8461162311
97	0.6327767471	0.8454224549
98	0.6330241187	0.8447522773
99	0.6329004329	0.8440357846
100	0.6336425479	0.8433657356
101	0.6337662338	0.8425957218
102	0.6341372913	0.8417521247
103	0.6346320346	0.8411116351
104	0.6356215213	0.8402537339
105	0.6353741497	0.8394549943
106	0.6357452072	0.8389073894
107	0.6364873222	0.8382059346
108	0.6367346939	0.8375131833
109	0.6367346939	0.8369079112
110	0.6363636364	0.8363786133
111	0.6376004947	0.8354652025
112	0.6376004947	0.8347312035
113	0.6380952381	0.8340327095
114	0.6378478664	0.8333482663
115	0.638961039	0.8323577746
116	0.6390847248	0.8315377768
117	0.6399505257	0.8308198574
118	0.640445269	0.8299858985
119	0.6400742115	0.8294129433
120	0.6406926407	0.828626286
121	0.6414347557	0.8279444756
122	0.641187384	0.8272587381
123	0.6413110699	0.8266738087
124	0.6416821274	0.826167148
125	0.6424242424	0.8254956529
126	0.643537415	0.8248496636
127	0.6427952999	0.8241809345
128	0.643537415	0.8236040592
129	0.643537415	0.8230316736
130	0.6439084725	0.822528354
131	0.6436611008	0.8220557943
132	0.6439084725	0.8216345571
133	0.6439084725	0.8211274781
134	0.6440321583	0.8205922399
135	0.6441558442	0.8201187789
136	0.6439084725	0.8194822606
137	0.6441558442	0.8189644705
138	0.6448979592	0.8183145604
139	0.6456400742	0.8177166383
140	0.6458874459	0.8171493707
141	0.6463821892	0.8165730301
142	0.6467532468	0.8159462934
143	0.6476190476	0.8152877021
144	0.6478664193	0.8147951549
145	0.6478664193	0.8140266768
146	0.6483611626	0.813397505
147	0.6489795918	0.8128749338
148	0.6484848485	0.8123504737
149	0.6487322202	0.811635124
150	0.6499690785	0.8110251052
151	0.6507111936	0.8103984242
152	0.6509585652	0.8099210454
153	0.6512059369	0.8093057449
154	0.6517006803	0.8087115116
155	0.6525664811	0.8081690825
156	0.652690167	0.8075027762
157	0.652690167	0.8070325791
158	0.6533085962	0.8065165678
159	0.6540507112	0.8059991232
160	0.6538033395	0.8053409006
161	0.6546691404	0.8047787085
162	0.6551638837	0.8043277961
163	0.6547928262	0.8038852619
164	0.6551638837	0.8031658394
165	0.6552875696	0.8025580953
166	0.6554112554	0.8021094085
167	0.6567717996	0.801615156
168	0.6560296846	0.8012141604
169	0.6564007421	0.8007154247
170	0.6573902288	0.8001361864
171	0.6575139147	0.7996012197
172	0.6575139147	0.7990267918
173	0.6577612863	0.7984741746
174	0.6577612863	0.7979663178
175	0.6576376005	0.7979006882
176	0.6586270872	0.7973756052
177	0.6586270872	0.7969575709
178	0.6581323438	0.7965223602
179	0.658750773	0.796090323
180	0.6591218306	0.7955417028
181	0.6588744589	0.7951033868
182	0.658750773	0.7946639311
183	0.658750773	0.7942366893
184	0.658750773	0.793877535
185	0.6593692022	0.7932097461
186	0.6597402597	0.7927655532
187	0.6601113173	0.792229196
188	0.6607297464	0.7917448027
189	0.6614718615	0.7911013479
190	0.661842919	0.7905292432
191	0.6623376623	0.7900733233
192	0.6619666048	0.789729058
193	0.6623376623	0.7893553265
194	0.663327149	0.7888609238
195	0.6634508349	0.78841831
196	0.6635745207	0.7879411425
197	0.6638218924	0.7873494277
198	0.6641929499	0.7867553248
199	0.6658008658	0.7862004861
200	0.666419295	0.7856854159
201	0.6667903525	0.7850677658
202	0.66716141	0.7844822682
203	0.6674087817	0.7839283954
204	0.6681508967	0.7834860355
205	0.6681508967	0.7830741129
206	0.6681508967	0.782573956
207	0.6686456401	0.7820470663
208	0.6691403834	0.7814929443
209	0.6696351268	0.7810886395
210	0.6700061843	0.7806073712
211	0.670253556	0.7801712303
212	0.6698824985	0.779695379
213	0.6700061843	0.779062668
214	0.670995671	0.7786439646
215	0.670995671	0.7781250948
216	0.6718614719	0.7773818143
217	0.6724799011	0.7767119048
