iter	Passed	Remaining
0	33	26422
1	66	26576
2	100	26620
3	134	26809
4	169	26940
5	203	26964
6	238	27073
7	275	27300
8	309	27233
9	344	27200
10	377	27101
11	412	27065
12	445	26993
13	482	27081
14	516	27007
15	550	26954
16	584	26902
17	618	26849
18	652	26820
19	688	26842
20	723	26831
21	757	26798
22	793	26814
23	800	25898
24	834	25882
25	870	25912
26	905	25919
27	939	25901
28	973	25875
29	1006	25845
30	1041	25823
31	1075	25810
32	1111	25827
33	1145	25801
34	1179	25771
35	1213	25747
36	1247	25718
37	1282	25717
38	1318	25724
39	1352	25704
40	1387	25676
41	1421	25655
42	1455	25620
43	1490	25608
44	1526	25604
45	1560	25574
46	1593	25526
47	1627	25495
48	1660	25456
49	1695	25430
50	1730	25416
51	1765	25398
52	1798	25354
53	1833	25324
54	1866	25286
55	1901	25262
56	1935	25234
57	1969	25197
58	2003	25161
59	2037	25123
60	2070	25086
61	2104	25054
62	2142	25064
63	2176	25028
64	2210	24992
65	2244	24960
66	2278	24923
67	2313	24899
68	2349	24889
69	2382	24847
70	2415	24805
71	2449	24762
72	2482	24726
73	2516	24693
74	2553	24688
75	2587	24651
76	2621	24613
77	2655	24579
78	2689	24545
79	2723	24515
80	2759	24494
81	2793	24460
82	2827	24429
83	2862	24396
84	2895	24357
85	2929	24324
86	2965	24305
87	2999	24265
88	3031	24218
89	3064	24173
90	3097	24133
91	3132	24103
92	3167	24082
93	3202	24053
94	3235	24013
95	3269	23978
96	3303	23942
97	3338	23911
98	3373	23888
99	3407	23853
100	3441	23817
101	3475	23783
102	3509	23748
103	3543	23712
104	3579	23691
105	3613	23657
106	3647	23622
107	3681	23585
108	3715	23551
109	3749	23516
110	3785	23495
111	3820	23467
112	3855	23438
113	3889	23402
114	3922	23366
115	3958	23341
116	3995	23324
117	4028	23285
118	4062	23251
119	4095	23208
120	4129	23174
121	4164	23141
122	4200	23121
123	4234	23085
124	4268	23048
125	4302	23015
126	4335	22976
127	4370	22946
128	4406	22922
129	4440	22887
130	4474	22851
131	4508	22816
132	4542	22782
133	4577	22748
134	4614	22731
135	4648	22696
136	4682	22661
137	4716	22625
138	4751	22592
139	4785	22558
140	4820	22531
141	4855	22498
142	4888	22461
143	4922	22425
144	4956	22390
145	4990	22356
