iter	Passed	Remaining
0	33	26840
1	68	27423
2	103	27444
3	138	27510
4	175	27897
5	237	31453
6	310	35121
7	359	35602
8	399	35121
9	441	34845
10	479	34382
11	515	33859
12	551	33372
13	586	32953
14	622	32552
15	658	32265
16	694	32009
17	742	32261
18	788	32423
19	824	32173
20	859	31890
21	894	31621
22	929	31408
23	964	31192
24	999	30990
25	1034	30790
26	1071	30665
27	1106	30519
28	1143	30396
29	1181	30318
30	1217	30191
31	1254	30096
32	1290	30005
33	1326	29896
34	1363	29810
35	1400	29730
36	1437	29645
37	1475	29583
38	1511	29490
39	1546	29391
40	1582	29288
41	1621	29259
42	1660	29232
43	1695	29133
44	1730	29037
45	1765	28941
46	1800	28850
47	1834	28745
48	1870	28664
49	1904	28574
50	1940	28496
51	1976	28425
52	2011	28353
53	2046	28273
54	2082	28205
55	2117	28133
56	2152	28056
57	2187	27978
58	2221	27899
59	2256	27835
60	2292	27768
61	2328	27713
62	2362	27642
63	2398	27582
64	2434	27526
65	2474	27520
66	2512	27482
67	2546	27413
68	2587	27408
69	2626	27390
70	2665	27367
71	2704	27347
72	2746	27355
73	2785	27325
74	2831	27374
75	2869	27333
76	2908	27312
77	2950	27309
78	2991	27299
79	3029	27263
80	3070	27254
81	3109	27224
82	3144	27166
83	3182	27126
84	3216	27060
85	3252	27000
86	3285	26927
87	3324	26900
88	3371	26933
89	3415	26944
90	3458	26942
91	3503	26962
92	3548	26972
93	3595	27007
94	3634	26970
95	3671	26921
96	3711	26897
97	3753	26889
98	3795	26876
99	3841	26887
100	3885	26887
101	3920	26825
102	3955	26764
103	3991	26712
104	4028	26663
105	4064	26610
106	4100	26554
107	4137	26511
108	4172	26453
109	4208	26399
110	4245	26351
111	4286	26328
112	4333	26343
113	4378	26346
114	4424	26352
115	4471	26369
116	4517	26371
117	4557	26340
118	4593	26284
119	4628	26227
120	4672	26217
121	4715	26208
122	4756	26179
123	4791	26120
124	4825	26060
125	4861	26003
126	4897	25952
127	4933	25902
128	4970	25855
129	5007	25806
130	5042	25753
131	5078	25702
132	5113	25646
133	5148	25588
134	5183	25532
135	5217	25474
136	5253	25425
137	5294	25396
138	5333	25363
139	5377	25350
140	5420	25333
141	5461	25309
142	5503	25284
143	5544	25258
144	5580	25206
145	5615	25154
146	5651	25105
147	5687	25053
148	5722	25001
149	5758	24955
150	5801	24933
151	5844	24915
152	5884	24882
153	5924	24851
154	5966	24828
155	6016	24836
156	6060	24820
157	6101	24793
158	6145	24774
159	6184	24739
160	6225	24707
161	6264	24672
162	6305	24641
163	6344	24606
164	6391	24598
165	6452	24644
166	6509	24672
167	6545	24622
168	6580	24568
169	6615	24516
170	6653	24475
171	6688	24420
172	6723	24367
173	6766	24343
174	6812	24328
175	6856	24309
176	6900	24288
177	6944	24267
178	6982	24224
179	7017	24170
180	7051	24116
181	7086	24062
182	7121	24010
183	7156	23957
184	7190	23903
185	7226	23856
186	7265	23815
187	7303	23776
188	7340	23729
189	7379	23690
190	7413	23638
191	7448	23588
192	7483	23537
193	7518	23486
194	7558	23451
195	7611	23454
196	7663	23457
197	7721	23477
198	7773	23475
199	7825	23475
200	7876	23472
201	7930	23478
202	7977	23459
203	8012	23408
204	8047	23357
205	8082	23306
206	8117	23253
207	8151	23201
208	8186	23150
209	8221	23098
210	8255	23046
211	8290	22995
212	8325	22944
213	8360	22892
214	8395	22844
215	8430	22793
216	8466	22745
217	8506	22711
218	8545	22670
219	8584	22631
220	8622	22589
221	8660	22548
222	8699	22509
223	8736	22464
224	8771	22415
225	8805	22364
226	8839	22313
227	8874	22263
228	8908	22214
229	8943	22163
230	8978	22116
231	9016	22075
232	9056	22038
233	9091	21990
234	9127	21945
235	9163	21899
236	9199	21853
237	9235	21807
238	9269	21758
239	9305	21712
240	9339	21664
241	9375	21618
242	9419	21591
243	9455	21545
244	9491	21500
245	9527	21455
246	9564	21413
247	9602	21372
248	9639	21330
249	9675	21286
250	9712	21243
251	9747	21197
252	9784	21153
253	9819	21108
254	9854	21061
255	9889	21016
256	9926	20972
257	9962	20928
258	9998	20884
259	10032	20836
260	10067	20791
261	10102	20745
262	10137	20699
263	10173	20656
264	10212	20618
265	10250	20578
266	10289	20540
267	10326	20499
268	10363	20457
269	10399	20414
270	10435	20370
271	10472	20328
272	10507	20283
273	10542	20237
274	10577	20192
275	10613	20150
276	10648	20106
277	10684	20062
278	10720	20019
279	10757	19978
280	10792	19933
281	10829	19891
282	10864	19847
283	10901	19806
284	10936	19762
285	10970	19715
286	11004	19670
287	11041	19629
288	11079	19590
289	11116	19548
290	11151	19504
291	11185	19459
292	11219	19414
293	11254	19370
294	11288	19324
295	11322	19279
296	11358	19236
297	11394	19194
298	11428	19149
299	11462	19104
300	11496	19059
301	11530	19013
302	11564	18969
303	11599	18925
304	11632	18879
305	11666	18833
306	11699	18788
307	11740	18753
308	11776	18713
309	11810	18668
310	11847	18628
311	11883	18587
312	11919	18545
313	11953	18501
314	11987	18457
315	12022	18413
316	12056	18370
317	12090	18325
318	12124	18281
319	12159	18238
320	12193	18195
321	12228	18152
322	12262	18109
323	12298	18067
324	12334	18027
325	12372	17989
326	12414	17957
327	12449	17914
328	12484	17872
329	12520	17832
330	12555	17790
331	12589	17746
332	12624	17704
333	12659	17662
334	12693	17619
335	12729	17578
336	12764	17537
337	12798	17494
338	12833	17451
339	12868	17409
340	12904	17370
341	12946	17338
342	12983	17298
343	13020	17259
344	13056	17219
345	13092	17178
346	13126	17136
347	13161	17094
348	13196	17053
349	13234	17016
350	13271	16977
351	13315	16947
352	13353	16909
353	13389	16869
354	13426	16830
355	13463	16791
356	13500	16752
357	13538	16714
358	13576	16677
359	13622	16649
360	13667	16620
361	13711	16589
362	13755	16559
363	13797	16526
364	13841	16495
365	13885	16465
366	13930	16435
367	13974	16404
368	14013	16368
369	14048	16326
370	14082	16284
371	14118	16243
372	14152	16201
373	14189	16162
374	14225	16121
375	14260	16080
376	14295	16039
377	14346	16016
378	14393	15988
379	14437	15956
380	14472	15915
381	14510	15877
382	14547	15839
383	14582	15798
384	14619	15758
385	14656	15719
386	14704	15692
387	14751	15663
388	14795	15632
389	14839	15600
390	14882	15567
391	14921	15530
392	14958	15491
393	14994	15451
394	15031	15412
395	15066	15371
396	15103	15332
397	15139	15291
398	15175	15251
399	15211	15211
400	15247	15171
401	15282	15130
402	15318	15090
403	15354	15050
404	15391	15011
405	15428	14972
406	15463	14931
407	15497	14889
408	15530	14847
409	15564	14805
410	15598	14763
411	15632	14721
412	15666	14680
413	15700	14638
414	15734	14596
415	15768	14555
416	15804	14515
417	15842	14477
418	15876	14436
419	15912	14396
420	15950	14359
421	15984	14317
422	16020	14278
423	16061	14243
424	16100	14206
425	16135	14166
426	16169	14124
427	16203	14083
428	16238	14043
429	16272	14002
430	16306	13961
431	16342	13921
432	16380	13883
433	16420	13847
434	16453	13806
435	16487	13765
436	16521	13724
437	16556	13683
438	16590	13642
439	16624	13602
440	16658	13560
441	16692	13520
442	16726	13479
443	16760	13438
444	16794	13397
445	16828	13357
446	16863	13317
447	16903	13281
448	16938	13241
449	16972	13200
450	17006	13160
451	17041	13120
452	17074	13079
453	17109	13039
454	17148	13002
455	17183	12962
456	17220	12925
457	17256	12885
458	17289	12844
459	17323	12804
460	17357	12763
461	17391	12723
462	17426	12683
463	17459	12643
464	17494	12603
465	17529	12563
466	17564	12524
467	17600	12485
468	17636	12447
469	17673	12408
470	17709	12370
471	17743	12330
472	17777	12290
473	17811	12250
474	17847	12211
475	17884	12173
476	17921	12135
477	17957	12096
478	17993	12058
479	18028	12018
480	18061	11978
481	18096	11939
482	18131	11899
483	18175	11866
484	18216	11831
485	18252	11792
486	18286	11752
487	18321	11713
488	18355	11674
489	18391	11635
490	18439	11604
491	18489	11574
492	18537	11543
493	18574	11505
494	18608	11466
495	18643	11426
496	18677	11386
497	18712	11347
498	18750	11310
499	18789	11273
500	18840	11244
501	18889	11213
502	18936	11181
503	18978	11146
504	19013	11106
505	19048	11067
506	19083	11028
507	19122	10991
508	19170	10959
509	19218	10927
510	19266	10896
511	19308	10860
512	19346	10823
513	19383	10785
514	19418	10746
515	19452	10706
516	19493	10670
517	19534	10634
518	19581	10602
519	19624	10567
520	19661	10528
521	19696	10489
522	19732	10450
523	19768	10412
524	19805	10374
525	19839	10334
526	19874	10295
527	19909	10256
528	19944	10217
529	19982	10179
530	20018	10141
531	20059	10105
532	20096	10067
533	20131	10028
534	20168	9990
535	20207	9952
536	20244	9914
537	20284	9878
538	20327	9843
539	20365	9805
540	20403	9767
541	20444	9732
542	20483	9694
543	20521	9657
544	20556	9618
545	20592	9579
546	20626	9540
547	20661	9501
548	20697	9462
549	20733	9424
550	20782	9391
551	20826	9357
552	20873	9323
553	20918	9288
554	20956	9251
555	20992	9212
556	21028	9173
557	21064	9135
558	21101	9097
559	21138	9059
560	21174	9020
561	21211	8982
562	21254	8947
563	21295	8910
564	21336	8874
565	21378	8838
566	21422	8803
567	21462	8766
568	21507	8731
569	21549	8695
570	21591	8659
571	21632	8622
572	21675	8586
573	21715	8550
574	21755	8512
575	21797	8476
576	21850	8444
577	21894	8409
578	21939	8374
579	21978	8336
580	22020	8300
581	22060	8263
582	22097	8225
583	22138	8188
584	22196	8157
585	22255	8127
586	22290	8088
587	22327	8049
588	22363	8011
589	22402	7973
590	22438	7934
591	22474	7896
592	22522	7862
593	22568	7826
594	22611	7790
